key,en,jp,vi
RAPE_RETURN_GUIDE,Return,帰還,Trở về
QUEST_PROCESS_FIND_ROUTE,Discover %d+ Anomalies,異変を%d個以上発見,Phát hiện từ %d hiện tượng lạ
TUTO_TITLE_KONIAL_H,Konial H,コニアルH,Cảnh H Konial
TUTO_BUTLER_H_2,"Help the Butler, whose detection abilities have weakened, collect the lost items scattered throughout the train cars.
The Butler's Affection increases each time you retrieve a Lost Item Box.
Information on which cars contain lost items can be purchased at the Exchange Shop.","感知能力が弱体化した執事を助け、車両のあちこちに散らばった落とし物を回収してください。
落とし物ボックスを獲得するたびに、執事の好感度が上昇します。
落とし物がある車両の情報は、交換ショップで購入できます。","Hãy giúp Quản gia, người có khả năng cảm ứng bị suy yếu, thu thập các món đồ thất lạc rải rác khắp các toa tàu. Mỗi lần bạn thu hồi một Hộp Đồ Thất Lạc, Thiện cảm của Quản gia sẽ tăng lên. Thông tin về việc toa tàu nào có chứa đồ thất lạc có thể được mua tại Cửa hàng Trao đổi."
ROUTE_APP_MSG_NEEDCOIN,Not enough Coins.,コインが不足しています。,Không đủ Xu.
NOW_DESTINATION_COMFIRMED,Route Set,路線設定完了,Tuyến đường đã được thiết lập
SCENE_LYING_KISS,Lying Down & Kissing,添い寝キス,Đồng sàng cộng hôn
QUEST_PROCESS_COLLECT_ITEM,Collect %d+ Items,景品%d個以上収集,Thu thập từ %d vật phẩm
TUTO_BUTLER_H_1,"To engage in sexual activities with the Butler in human form, you must raise her Affection.
Hearts drop when you engage in sexual activities with Reina or Mai at the starting point. Collecting them raises the Butler's Affection.","人間の姿になった執事とエッチするには、好感度を上げる必要があります。
開始地点で怜奈や舞とエッチするとハートがドロップし、それを獲得すると執事の好感度が上がります。","Để kích hoạt các hoạt động thân mật với Quản gia trong dạng người, bạn phải tăng điểm Thiện cảm của cô ấy. Trái tim sẽ rơi ra khi bạn thực hiện hoạt động thân mật với Reina hoặc Mai tại điểm xuất phát. Thu thập chúng sẽ giúp tăng điểm Thiện cảm của Quản gia."
SYSTEM_EXIT_CONFIRM_DESCRIPTION,Exit the game?,ゲームを終了しますか？,Bạn có muốn thoát game không?
DESTINATION_D_RULET,Collab Car,コラボ車両,Toa liên kết
NOTI_NEW_ROUTE_ADDED,New Terminal registered.,新しい終点情報が登録されました。,Đã ghi nhận ga cuối mới.
NOTI_LOVE_LEVEL_UP_BONUS_TICKET,Affection Bonus Ticket + %d,好感度上昇ボーナス チケット + %d,Vé thưởng tăng Thiện cảm + %d
INVENTORY_TITLE,Inventory,所持品,Túi đồ
ROUTE_TITLE_WATCHER,Watching,監視,Giám sát
QUEST_PROCESS_GOAL_COUNT,Complete %d+ runs,完走回数%d回以上,Hoàn thành từ %d lượt chạy
ROUTE_INFO_SEATEYE,Please be careful not to sit right on it.,うっかり座ってしまわぬよう、ご注意くださいませ。,Xin hãy cẩn thận đừng vô tình ngồi thẳng lên đó.
SCENE_FIRST_SEX,First Time,初セックス,Khai trinh đại điển
BOX_MAP_ITEM_3_TITLE,Lost Item Location Hint -3-,落とし物位置のヒント -3-,Gợi ý vị trí đồ thất lạc -3-
ROUTE_COIN,Commemorative Coin,記念硬貨,Xu kỷ niệm
OPTION_TAB_SCREEN,Display,画面,Hiển thị
LOVE_BONUS_DESCRIPTION,Gain bonus Affection from your accompanying heroine with each successful exploration.,探索に成功する毎に、同行ヒロインの追加好感度を獲得します。,Nhận thêm điểm Thiện cảm từ nữ chính đồng hành sau mỗi lần thám hiểm thành công.
EXIT_CONFIRM,Main Menu,メインメニューへ,Menu chính
ROUTE_APP_NOT_FIND,Not detected,未探知,Không phát hiện
VIEW_MODE_TITLE,R Key: Observation Mode,Rキー：観察モード,Phím R: Chế độ quan sát
SPEED_UP,Love Love Lotion,ラブラブローション,Gel bôi trơn tình yêu
SCENE_FULL_NELSON,Full Nelson,フルネルソン,Song thủ khóa cánh én
CREDIT_PUBLISHED_BY,Published by,販売元,Phát hành bởi
LOAD_GAME,Load,ロード,Tải game
SCENE_MISSIONARY,Missionary,正常位,Chính diện song tu
ROUTE_INFO_PANCHIRA,Please check the advertisements up above carefully as well.,上の方の広告看板も、隅々まで確認してみてくださいませ。,Xin hãy kiểm tra kỹ lưỡng cả các biển quảng cáo ở phía trên nữa nhé.
